('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         678126 function calls (659768 primitive calls) in 1.897 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      252    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        4    0.000    0.000    0.001    0.000 feedparser.py:216(_parsegen)
     6523    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      254    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
     5580    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
        1    0.000    0.000    0.001    0.001 ssl_.py:219(create_urllib3_context)
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
       33    0.000    0.000    0.001    0.000 typing.py:1449(__getitem__)
     2757    0.001    0.000    0.001    0.000 {built-in method builtins.max}
       51    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
     3683    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      320    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      802    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
        1    0.000    0.000    0.001    0.001 __init__.py:469(StrFormatStyle)
        1    0.000    0.000    0.001    0.001 pathlib.py:812(PureWindowsPath)
      481    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
        1    0.000    0.000    0.001    0.001 __meta__.py:1(<module>)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
     7553    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      169    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
        1    0.000    0.000    0.001    0.001 poolmanager.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ssl.py:430(__new__)
     1425    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
        1    0.000    0.000    0.001    0.001 sessions.py:457(prepare_request)
      203    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
  161/158    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
        1    0.000    0.000    0.001    0.001 core.py:21(where)
      212    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1171(exec_module)
      254    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
      308    0.001    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 calendar.py:1(<module>)
     2695    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
        1    0.000    0.000    0.001    0.001 adapters.py:359(build_response)
      488    0.000    0.000    0.001    0.000 enum.py:726(__call__)
      160    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
        1    0.000    0.000    0.001    0.001 connection.py:369(request)
        1    0.000    0.000    0.001    0.001 message.py:1(<module>)
     1107    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
        2    0.000    0.000    0.001    0.000 readers.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _common.py:33(wrapper)
      479    0.000    0.000    0.001    0.000 typing.py:1188(__setattr__)
        1    0.000    0.000    0.001    0.001 _common.py:51(files)
       54    0.000    0.000    0.001    0.000 typing.py:885(__init__)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        1    0.000    0.000    0.001    0.001 fields.py:1(<module>)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _common.py:107(from_package)
     4644    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
        2    0.000    0.000    0.001    0.000 _collections.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _adapters.py:28(get_resource_reader)
       42    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.001    0.001 _adapters.py:149(_native)
        1    0.000    0.000    0.001    0.001 _adapters.py:144(_reader)
       38    0.000    0.000    0.001    0.000 typing.py:1458(copy_with)
     2802    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1192(get_resource_reader)
     3819    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.001    0.001 __init__.py:436(PercentStyle)
      169    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
        1    0.000    0.000    0.001    0.001 _markupbase.py:1(<module>)
        2    0.000    0.000    0.001    0.000 _adapters.py:1(<module>)
       54    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
       69    0.000    0.000    0.001    0.000 css_parser.py:532(parse_tag_pattern)
     2695    0.001    0.000    0.001    0.000 __init__.py:453(set_up_substitutions)
       99    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
     3131    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
        8    0.000    0.000    0.001    0.000 _htmlparser.py:182(handle_charref)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
       84    0.000    0.000    0.001    0.000 css_parser.py:798(parse_combinator)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
     2467    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
       20    0.000    0.000    0.001    0.000 {method 'decode' of 'bytearray' objects}
        1    0.000    0.000    0.001    0.001 _internal_utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 base64mime.py:1(<module>)
        2    0.000    0.000    0.001    0.000 __init__.py:71(search_function)
       75    0.000    0.000    0.001    0.000 typing.py:1147(__init__)
      136    0.000    0.000    0.001    0.000 css_parser.py:359(__init__)
      913    0.001    0.000    0.001    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.001    0.001 __init__.py:152(EntryPoint)
        6    0.000    0.000    0.001    0.000 structures.py:40(__init__)
        1    0.000    0.000    0.001    0.001 feedparser.py:469(_parse_headers)
     2581    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 ipaddress.py:2314(_IPv6Constants)
        9    0.000    0.000    0.001    0.000 typing.py:740(Optional)
        8    0.000    0.000    0.001    0.000 <frozen _collections_abc>:974(update)
       34    0.000    0.000    0.001    0.000 ipaddress.py:2238(__init__)
      160    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
