('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         678362 function calls (659984 primitive calls) in 8.725 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.001    0.000 _htmlparser.py:182(handle_charref)
     5762    0.001    0.000    0.001    0.000 element.py:1586(__bool__)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
        1    0.000    0.000    0.000    0.000 certs.py:1(<module>)
      854    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
     2694    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      321    0.000    0.000    0.000    0.000 socket.py:732(readable)
       15    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      488    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
       20    0.000    0.000    0.000    0.000 {method 'decode' of 'bytearray' objects}
      412    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1246(CookieJar)
        1    0.000    0.000    0.000    0.000 idna.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
     2550    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
        6    0.000    0.000    0.000    0.000 structures.py:40(__init__)
     2796    0.000    0.000    0.000    0.000 element.py:2062(descendants)
       48    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
      160    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       24    0.000    0.000    0.000    0.000 enum.py:254(__set_name__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
      480    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
        8    0.000    0.000    0.000    0.000 <frozen _collections_abc>:974(update)
        1    0.000    0.000    0.000    0.000 request.py:935(AbstractBasicAuthHandler)
        1    0.000    0.000    0.000    0.000 charset.py:1(<module>)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      353    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
     2277    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      512    0.000    0.000    0.000    0.000 typing.py:1134(_is_dunder)
      111    0.000    0.000    0.000    0.000 typing.py:723(<genexpr>)
